age,education_level,years_of_experience,technical_test_score,interview_score,previous_employment,suitable_for_employment
54.0,Bachelor's,30,74.3,6.5,,Yes
26.0,High School,8,51.5,5.2,Yes,No
41.0,Master's,16,88.9,4.0,Yes,Yes
52.0,,,66.7,5.8,No,No
52.0,Master's,,79.9,5.7,Yes,Yes
65.0,High School,45,95.6,5.0,Yes,Yes
53.0,Bachelor's,30,87.4,8.2,No,Yes
35.0,Bachelor's,11,87.4,4.2,Yes,No
56.0,Master's,32,68.9,6.2,Yes,Yes
49.0,High School,31,80.9,8.8,Yes,Yes
41.0,Bachelor's,,69.3,8.3,Yes,Yes
40.0,Bachelor's,17,40.8,8.9,Yes,Yes
49.0,High School,31,71.1,5.3,No,No
,Bachelor's,,70.1,8.1,Yes,Yes
29.0,Bachelor's,5,76.7,4.4,Yes,No
30.0,Master's,4,62.4,5.9,Yes,No
40.0,PhD,11,49.8,6.1,Yes,No
42.0,,,78.1,5.3,No,No
52.0,Bachelor's,29,38.7,5.8,Yes,No
58.0,Bachelor's,34,94.2,5.5,No,Yes
47.0,PhD,18,60.4,4.5,Yes,No
34.0,PhD,7,69.9,8.2,Yes,Yes
37.0,PhD,8,76.2,6.1,No,No
65.0,Master's,40,76.8,6.9,Yes,Yes
42.0,Bachelor's,18,36.8,6.8,Yes,No
39.0,Master's,14,81.5,6.6,No,Yes
30.0,Bachelor's,6,71.1,6.7,Yes,No
36.0,Bachelor's,12,52.3,5.9,Yes,No
53.0,Master's,27,50.0,9.3,Yes,Yes
29.0,High School,10,58.3,8.0,No,No
58.0,High School,40,39.0,6.5,Yes,Yes
36.0,Bachelor's,13,99.4,5.6,No,Yes
29.0,Bachelor's,7,94.7,6.3,Yes,Yes
26.0,Master's,1,74.0,7.3,No,No
24.0,High School,4,60.5,9.5,Yes,No
45.0,High School,25,61.1,3.8,Yes,No
31.0,High School,13,80.2,7.8,Yes,Yes
48.0,High School,30,100.0,8.8,Yes,Yes
36.0,High School,17,53.6,3.5,Yes,No
64.0,Bachelor's,41,42.6,6.1,Yes,Yes
33.0,Bachelor's,11,96.0,4.4,No,No
22.0,Master's,0,29.3,7.4,Yes,No
52.0,PhD,24,,5.8,No,Yes
29.0,Bachelor's,7,60.1,6.2,Yes,No
42.0,High School,24,33.8,5.7,Yes,No
38.0,High School,20,87.2,7.9,No,Yes
53.0,Master's,29,82.1,7.0,No,Yes
40.0,Bachelor's,16,53.5,7.0,Yes,No
,Master's,,90.6,6.8,Yes,Yes
56.0,Master's,30,94.0,7.6,Yes,Yes
62.0,PhD,35,62.7,6.0,Yes,Yes
,PhD,,56.0,9.9,No,Yes
56.0,Bachelor's,33,100.0,4.0,Yes,Yes
31.0,Bachelor's,7,79.4,3.0,Yes,No
48.0,PhD,20,70.1,2.9,Yes,No
22.0,Bachelor's,0,92.3,2.3,Yes,No
52.0,High School,32,71.0,7.8,Yes,Yes
40.0,Bachelor's,17,54.9,7.6,No,No
46.0,Bachelor's,23,66.6,8.9,Yes,Yes
60.0,Master's,,85.8,4.4,Yes,Yes
28.0,Bachelor's,6,25.2,8.0,No,No
35.0,Bachelor's,13,59.2,6.6,Yes,No
64.0,PhD,35,92.7,6.8,No,Yes
29.0,Master's,5,54.8,7.8,Yes,Yes
26.0,Bachelor's,3,95.9,5.0,Yes,No
27.0,Bachelor's,4,93.3,10.0,Yes,Yes
61.0,Bachelor's,38,63.7,9.2,No,Yes
34.0,Bachelor's,11,53.6,5.4,No,No
55.0,High School,,59.3,4.3,Yes,No
24.0,Bachelor's,0,100.0,6.3,Yes,Yes
63.0,Master's,38,100.0,,Yes,Yes
30.0,Bachelor's,6,67.5,8.6,Yes,Yes
57.0,Bachelor's,34,52.8,4.2,No,No
59.0,High School,39,67.3,,Yes,Yes
26.0,Bachelor's,2,69.9,3.4,Yes,No
44.0,Master's,19,40.1,7.4,Yes,Yes
19.0,Bachelor's,0,66.6,6.3,Yes,No
22.0,High School,3,91.4,10.0,No,Yes
46.0,Bachelor's,23,29.0,3.4,Yes,No
54.0,PhD,27,81.5,9.2,Yes,Yes
55.0,Bachelor's,33,92.5,3.1,Yes,Yes
36.0,High School,16,53.8,3.8,Yes,No
25.0,Bachelor's,1,98.9,3.1,Yes,No
65.0,Master's,41,51.2,7.0,No,Yes
62.0,High School,42,73.8,4.2,Yes,Yes
18.0,,,58.9,3.8,Yes,No
39.0,Bachelor's,16,58.9,6.9,No,No
34.0,,,52.7,7.4,Yes,Yes
24.0,Master's,0,79.0,6.6,Yes,Yes
42.0,Master's,16,82.0,6.2,Yes,Yes
62.0,Bachelor's,38,63.7,10.0,Yes,Yes
21.0,High School,3,37.8,6.8,Yes,No
,High School,,73.1,8.1,Yes,Yes
23.0,Bachelor's,1,73.4,6.8,Yes,No
48.0,Bachelor's,24,60.7,4.3,Yes,No
36.0,High School,17,100.0,7.6,Yes,Yes
61.0,High School,41,33.7,5.2,Yes,No
56.0,High School,38,20.7,6.3,Yes,No
44.0,PhD,16,50.4,7.1,No,No
27.0,Master's,1,79.2,2.6,No,No
43.0,PhD,16,43.9,3.3,Yes,No
36.0,High School,17,45.4,8.3,No,No
56.0,PhD,27,84.0,5.2,Yes,Yes
20.0,High School,2,74.3,5.3,No,No
62.0,Bachelor's,39,72.5,6.8,Yes,Yes
30.0,Master's,4,80.6,5.7,Yes,Yes
45.0,Bachelor's,22,56.5,7.3,No,No
37.0,Bachelor's,14,57.4,6.4,No,No
45.0,High School,26,81.2,6.9,Yes,Yes
25.0,High School,7,38.1,5.1,No,No
58.0,Bachelor's,34,22.1,6.9,Yes,No
56.0,Bachelor's,33,56.3,8.7,Yes,Yes
18.0,Master's,0,83.6,5.4,Yes,No
20.0,Bachelor's,0,70.1,8.3,Yes,Yes
30.0,Bachelor's,8,82.1,6.4,No,No
45.0,High School,26,24.7,8.0,No,No
42.0,High School,24,71.3,6.8,Yes,Yes
50.0,PhD,23,78.1,6.4,Yes,Yes
55.0,,,38.0,7.2,No,No
23.0,Bachelor's,0,82.2,8.9,Yes,Yes
61.0,High School,42,62.8,7.0,Yes,Yes
62.0,Master's,38,100.0,7.5,Yes,Yes
49.0,Master's,25,21.5,,Yes,No
62.0,High School,43,92.4,9.6,No,Yes
64.0,Bachelor's,42,57.1,7.8,Yes,Yes
38.0,,,32.7,6.7,Yes,No
33.0,Bachelor's,11,54.5,6.3,No,No
38.0,High School,19,70.5,8.5,Yes,Yes
28.0,Master's,3,85.7,5.3,Yes,No
54.0,High School,34,,2.9,Yes,No
53.0,Master's,,93.4,6.6,Yes,Yes
52.0,Bachelor's,29,45.7,8.9,No,Yes
36.0,High School,17,87.6,9.7,Yes,Yes
37.0,Bachelor's,13,72.8,6.3,No,No
35.0,Bachelor's,13,51.9,6.6,Yes,No
64.0,Bachelor's,41,60.8,7.5,Yes,Yes
58.0,Bachelor's,35,50.8,6.0,Yes,Yes
31.0,Bachelor's,7,65.7,7.5,No,No
32.0,Bachelor's,,50.4,6.3,Yes,No
48.0,High School,28,44.4,8.5,Yes,Yes
18.0,Bachelor's,0,74.6,7.9,Yes,Yes
20.0,Bachelor's,0,77.6,8.1,Yes,Yes
33.0,Bachelor's,11,61.2,6.1,Yes,No
40.0,Bachelor's,17,92.4,10.0,Yes,Yes
28.0,Bachelor's,5,59.8,7.5,,No
29.0,Master's,4,58.9,7.0,No,No
27.0,,,78.2,5.0,Yes,Yes
49.0,Bachelor's,25,62.4,6.3,Yes,Yes
33.0,Bachelor's,10,66.7,6.7,Yes,No
25.0,Bachelor's,1,14.6,4.9,Yes,No
55.0,Master's,31,65.3,5.9,Yes,Yes
29.0,High School,10,28.5,6.2,Yes,No
41.0,Bachelor's,19,40.6,6.6,No,No
45.0,Master's,19,38.3,3.0,Yes,No
25.0,High School,5,44.1,6.2,Yes,No
45.0,High School,26,54.0,5.7,No,No
53.0,Bachelor's,30,55.3,6.5,No,Yes
43.0,Bachelor's,19,78.3,8.6,Yes,Yes
25.0,Master's,0,69.4,10.0,Yes,Yes
45.0,Master's,20,27.0,7.9,Yes,No
45.0,High School,27,66.7,4.0,Yes,No
54.0,High School,34,71.4,5.8,No,No
58.0,Bachelor's,36,58.4,7.7,No,Yes
53.0,Bachelor's,30,63.8,7.5,No,Yes
44.0,Bachelor's,22,68.8,8.5,Yes,Yes
34.0,High School,14,80.3,6.3,Yes,No
26.0,Bachelor's,4,33.5,5.8,Yes,No
50.0,Bachelor's,28,60.1,10.0,Yes,Yes
37.0,Bachelor's,14,95.2,6.6,Yes,Yes
30.0,Bachelor's,6,93.3,,Yes,Yes
,Bachelor's,,82.0,9.5,Yes,Yes
65.0,Bachelor's,42,75.7,3.5,Yes,Yes
46.0,High School,27,98.1,0.0,Yes,No
30.0,High School,10,100.0,8.0,Yes,Yes
63.0,Bachelor's,41,62.4,8.3,Yes,Yes
52.0,Bachelor's,29,45.6,7.3,Yes,Yes
23.0,Bachelor's,1,59.6,3.9,Yes,No
35.0,Bachelor's,11,100.0,6.4,No,Yes
22.0,Bachelor's,0,33.6,5.9,Yes,No
,Master's,,55.6,5.4,No,No
42.0,Bachelor's,20,36.7,9.3,No,No
19.0,High School,1,67.5,4.4,Yes,No
,High School,,40.9,7.1,Yes,No
,Bachelor's,,62.8,8.9,,Yes
62.0,Bachelor's,39,26.0,7.3,Yes,Yes
22.0,High School,2,77.4,9.0,Yes,Yes
50.0,Bachelor's,28,89.4,7.6,No,Yes
18.0,High School,0,57.3,7.4,Yes,No
35.0,Bachelor's,,62.3,7.2,No,No
,Bachelor's,,61.7,7.7,No,Yes
64.0,Master's,40,68.6,5.7,Yes,Yes
28.0,High School,10,64.2,3.9,Yes,No
38.0,Master's,14,80.4,8.4,Yes,Yes
43.0,Master's,17,89.7,8.8,Yes,Yes
42.0,High School,24,48.7,7.0,Yes,No
39.0,High School,21,58.8,5.4,No,No
44.0,Bachelor's,21,83.0,3.4,Yes,No
30.0,Master's,6,36.6,6.7,Yes,No
50.0,Master's,24,25.6,3.8,No,No
51.0,Bachelor's,28,69.5,,Yes,Yes
58.0,Master's,33,74.9,6.5,Yes,Yes
52.0,High School,34,50.6,5.0,Yes,No
18.0,High School,0,53.4,7.2,Yes,No
38.0,PhD,11,49.8,6.2,No,No
65.0,Master's,40,47.7,5.3,No,Yes
23.0,Bachelor's,0,78.9,3.1,Yes,No
45.0,Master's,21,41.4,4.8,Yes,No
34.0,PhD,5,59.7,4.9,Yes,No
22.0,Master's,0,46.9,4.0,No,No
48.0,Master's,22,35.9,5.8,Yes,No
22.0,Master's,0,82.4,4.2,Yes,No
55.0,High School,36,54.6,6.2,Yes,Yes
20.0,Master's,0,68.8,7.0,No,No
40.0,High School,21,34.8,4.8,Yes,No
54.0,Master's,28,50.2,7.4,Yes,Yes
54.0,Bachelor's,32,80.1,3.8,No,No
27.0,Bachelor's,3,100.0,4.3,Yes,No
27.0,Bachelor's,3,25.5,6.3,Yes,No
36.0,High School,16,61.0,7.9,Yes,Yes
34.0,Bachelor's,,73.2,8.2,No,Yes
38.0,PhD,10,52.7,9.7,Yes,Yes
31.0,PhD,2,82.0,5.7,Yes,Yes
26.0,Bachelor's,3,47.7,6.2,Yes,No
63.0,PhD,34,68.1,4.4,No,Yes
18.0,Master's,0,54.6,4.0,Yes,No
62.0,Bachelor's,38,89.4,7.0,Yes,Yes
30.0,High School,10,51.5,4.9,Yes,No
21.0,PhD,0,58.0,9.0,Yes,Yes
18.0,Bachelor's,0,83.9,3.6,No,No
57.0,Master's,31,44.4,7.5,Yes,Yes
49.0,Master's,23,66.4,4.5,No,No
51.0,Master's,26,28.5,4.9,No,No
45.0,Bachelor's,23,43.2,7.6,No,No
48.0,Bachelor's,26,72.6,5.1,,Yes
25.0,Bachelor's,2,45.2,5.5,Yes,No
,Bachelor's,,54.1,4.9,Yes,No
43.0,High School,23,74.9,10.0,No,Yes
51.0,Bachelor's,27,53.4,5.3,No,No
20.0,Bachelor's,0,81.5,6.6,Yes,No
29.0,Master's,4,69.3,6.1,No,No
18.0,High School,0,73.7,6.9,No,No
61.0,Bachelor's,39,89.8,5.3,No,Yes
22.0,High School,2,71.4,6.1,Yes,No
47.0,High School,27,95.8,7.3,No,Yes
47.0,High School,27,83.2,4.8,No,No
34.0,Master's,10,54.5,8.7,Yes,Yes
65.0,High School,46,90.9,8.9,No,Yes
64.0,Master's,39,70.3,7.7,Yes,Yes
40.0,High School,20,57.1,6.6,Yes,No
32.0,Master's,7,70.6,0.5,No,No
54.0,Master's,28,87.2,7.3,Yes,Yes
38.0,PhD,11,74.1,,No,Yes
31.0,Master's,7,100.0,6.0,Yes,Yes
19.0,PhD,0,86.7,2.7,Yes,No
28.0,Master's,2,75.5,7.5,Yes,Yes
56.0,Bachelor's,33,44.5,3.6,Yes,No
55.0,High School,37,61.4,6.7,No,Yes
51.0,Bachelor's,27,66.4,8.3,Yes,Yes
55.0,High School,36,78.9,5.6,Yes,Yes
51.0,Bachelor's,28,77.7,8.9,Yes,Yes
35.0,Bachelor's,12,68.4,5.0,No,No
47.0,Master's,21,67.4,7.7,Yes,Yes
32.0,PhD,3,79.4,3.9,No,No
44.0,Bachelor's,20,47.8,8.6,Yes,Yes
51.0,Bachelor's,29,98.9,8.3,Yes,Yes
55.0,PhD,26,24.1,7.4,No,No
50.0,Bachelor's,28,94.1,5.7,Yes,Yes
41.0,Master's,17,64.1,3.7,Yes,No
32.0,High School,14,85.1,5.7,No,No
47.0,Bachelor's,23,72.3,8.7,Yes,Yes
59.0,Bachelor's,37,71.9,6.8,No,Yes
34.0,Master's,8,76.1,3.4,No,No
22.0,Bachelor's,0,81.2,4.3,Yes,No
46.0,High School,28,58.4,9.0,Yes,Yes
21.0,,,85.7,7.5,Yes,Yes
27.0,Bachelor's,5,43.3,4.0,No,No
34.0,PhD,7,64.9,3.0,No,No
27.0,Master's,1,81.7,5.2,Yes,No
34.0,Bachelor's,10,84.9,2.8,Yes,No
37.0,Bachelor's,15,74.2,6.2,Yes,Yes
41.0,Bachelor's,19,57.1,10.0,Yes,Yes
22.0,Master's,0,82.9,3.3,Yes,No
51.0,Master's,27,51.6,6.1,No,No
23.0,Bachelor's,0,100.0,9.1,No,Yes
19.0,Master's,0,63.3,8.0,No,No
30.0,Bachelor's,6,34.2,6.2,Yes,No
60.0,PhD,31,41.1,6.2,No,Yes
60.0,PhD,32,65.9,4.2,No,Yes
65.0,Master's,40,67.8,6.0,Yes,Yes
28.0,Master's,4,100.0,7.0,Yes,Yes
64.0,Bachelor's,41,44.2,8.7,No,Yes
40.0,Master's,16,65.8,5.3,No,No
33.0,Bachelor's,9,43.8,6.1,Yes,No
,Bachelor's,,55.1,4.6,Yes,No
28.0,Bachelor's,6,98.7,7.0,Yes,Yes
33.0,Master's,7,42.3,8.1,No,No
25.0,High School,6,76.7,7.8,No,No
21.0,Bachelor's,0,72.9,4.2,Yes,No
,Bachelor's,,64.5,6.8,Yes,Yes
21.0,High School,2,75.4,5.1,No,No
42.0,High School,24,41.8,8.5,No,No
20.0,Master's,0,98.1,6.2,No,Yes
49.0,Master's,23,100.0,3.5,No,Yes
20.0,Bachelor's,0,65.9,6.1,Yes,No
44.0,Master's,18,100.0,7.4,No,Yes
46.0,Master's,20,57.0,7.0,Yes,Yes
49.0,Bachelor's,27,73.0,5.5,No,Yes
36.0,Master's,10,93.6,5.3,Yes,Yes
38.0,PhD,10,55.8,4.5,No,No
22.0,Bachelor's,0,37.4,5.7,No,No
35.0,High School,16,32.8,4.8,Yes,No
45.0,PhD,18,100.0,8.4,Yes,Yes
59.0,Bachelor's,37,54.4,4.7,Yes,Yes
39.0,High School,20,61.3,6.7,No,No
38.0,Bachelor's,14,42.7,6.6,No,No
23.0,Bachelor's,1,84.0,8.4,No,Yes
18.0,Master's,0,49.4,8.7,Yes,No
22.0,Bachelor's,0,55.2,7.9,Yes,No
58.0,Bachelor's,34,71.0,7.2,Yes,Yes
,Bachelor's,,43.7,4.4,Yes,No
43.0,Bachelor's,20,61.4,4.4,Yes,No
63.0,High School,44,93.0,4.8,No,Yes
51.0,Bachelor's,27,73.6,8.0,Yes,Yes
31.0,Master's,7,67.6,6.6,No,No
43.0,High School,23,69.3,8.2,Yes,Yes
62.0,Bachelor's,38,57.2,8.5,Yes,Yes
44.0,Bachelor's,,100.0,5.0,Yes,Yes
26.0,Bachelor's,2,48.8,6.6,Yes,No
43.0,Bachelor's,19,69.2,6.5,No,No
64.0,Bachelor's,42,67.3,5.8,Yes,Yes
39.0,Master's,15,85.2,5.4,Yes,Yes
64.0,Bachelor's,41,87.1,8.9,No,Yes
47.0,Master's,23,64.4,6.6,No,Yes
60.0,High School,40,70.8,6.5,Yes,Yes
65.0,PhD,36,71.6,4.9,Yes,Yes
34.0,Bachelor's,10,19.6,7.9,Yes,No
43.0,Master's,18,33.2,4.5,Yes,No
53.0,Bachelor's,31,52.9,7.4,Yes,Yes
18.0,Bachelor's,0,53.8,7.5,No,No
,High School,,41.0,5.7,Yes,No
52.0,PhD,25,80.0,7.1,,Yes
32.0,Bachelor's,10,65.0,6.9,Yes,No
64.0,Bachelor's,42,60.7,6.4,No,Yes
39.0,Master's,15,39.9,6.5,Yes,No
31.0,Bachelor's,8,64.1,6.6,Yes,No
43.0,Master's,18,12.5,6.8,Yes,No
45.0,Bachelor's,22,61.7,6.6,Yes,Yes
40.0,Master's,14,66.3,4.3,Yes,No
31.0,Bachelor's,7,69.8,6.2,Yes,No
41.0,Bachelor's,17,33.7,7.0,Yes,No
19.0,High School,0,69.5,6.7,Yes,No
62.0,Master's,38,44.2,8.4,Yes,Yes
43.0,Bachelor's,20,48.8,7.7,,Yes
31.0,Bachelor's,7,79.4,4.8,Yes,No
24.0,PhD,0,100.0,6.2,No,Yes
20.0,High School,2,66.0,5.9,Yes,No
64.0,Master's,39,48.7,6.5,No,Yes
40.0,PhD,13,68.8,6.5,Yes,Yes
63.0,Master's,38,83.8,7.7,Yes,Yes
60.0,Master's,34,77.4,6.9,No,Yes
64.0,Bachelor's,42,100.0,9.0,No,Yes
62.0,High School,44,50.7,7.0,No,Yes
35.0,Master's,10,70.0,4.8,No,No
55.0,Bachelor's,32,96.0,5.6,Yes,Yes
52.0,High School,33,94.7,7.7,Yes,Yes
32.0,Master's,6,26.0,3.3,Yes,No
42.0,Bachelor's,19,64.9,3.8,Yes,No
54.0,PhD,25,94.7,6.5,No,Yes
45.0,Master's,20,100.0,8.4,Yes,Yes
27.0,Master's,2,79.1,9.1,No,Yes
56.0,Master's,30,57.6,6.1,Yes,Yes
34.0,Master's,9,44.8,8.6,Yes,Yes
56.0,Master's,30,100.0,6.6,Yes,Yes
39.0,Bachelor's,15,79.6,3.4,Yes,No
43.0,Bachelor's,20,48.0,6.5,No,No
61.0,Master's,36,60.9,5.3,No,Yes
42.0,Master's,18,71.2,8.3,Yes,Yes
34.0,Bachelor's,11,75.9,6.4,No,No
30.0,High School,12,47.0,3.9,Yes,No
37.0,Bachelor's,14,52.7,3.5,No,No
42.0,High School,22,31.9,6.5,Yes,No
21.0,PhD,0,85.8,1.7,Yes,No
27.0,PhD,0,58.2,5.5,Yes,No
20.0,High School,1,,7.0,Yes,No
,Bachelor's,,93.4,4.4,Yes,Yes
62.0,High School,44,69.4,8.5,Yes,Yes
35.0,Master's,10,62.7,8.9,Yes,Yes
64.0,Bachelor's,41,68.9,4.5,Yes,Yes
53.0,Bachelor's,29,66.3,5.9,No,Yes
64.0,Bachelor's,42,89.9,8.5,No,Yes
39.0,High School,19,71.2,6.5,No,No
51.0,Bachelor's,27,54.1,3.7,Yes,No
64.0,High School,44,86.0,6.2,Yes,Yes
25.0,Bachelor's,3,89.6,4.8,Yes,No
57.0,High School,38,38.2,8.7,Yes,Yes
61.0,Bachelor's,38,95.7,7.7,Yes,Yes
36.0,Master's,12,72.3,5.9,Yes,Yes
59.0,Master's,34,70.7,6.8,Yes,Yes
58.0,Master's,34,85.1,3.9,Yes,Yes
54.0,PhD,27,53.7,5.0,Yes,Yes
23.0,High School,4,84.1,9.6,No,Yes
43.0,High School,23,57.5,6.6,No,No
51.0,Bachelor's,29,35.5,8.4,Yes,Yes
62.0,Master's,38,45.0,7.0,Yes,Yes
23.0,PhD,0,,9.1,No,Yes
54.0,High School,36,46.1,2.5,No,No
,Bachelor's,,97.2,6.1,No,Yes
39.0,High School,20,88.8,9.8,Yes,Yes
38.0,Master's,13,91.7,8.4,Yes,Yes
23.0,Bachelor's,1,67.5,9.2,Yes,Yes
23.0,High School,3,70.2,6.5,No,No
65.0,Bachelor's,42,41.1,5.4,No,No
21.0,Bachelor's,0,84.9,4.4,Yes,No
47.0,Master's,21,72.6,4.3,Yes,Yes
28.0,High School,10,76.3,8.1,Yes,Yes
47.0,Master's,22,98.8,7.5,No,Yes
48.0,Bachelor's,26,52.9,6.4,No,No
41.0,Master's,17,62.5,7.5,Yes,Yes
26.0,Master's,0,71.5,6.8,Yes,No
20.0,High School,0,,8.4,Yes,No
48.0,High School,28,61.2,8.4,No,Yes
57.0,Master's,33,74.9,4.4,No,Yes
54.0,High School,36,58.5,7.0,Yes,Yes
53.0,Master's,29,91.2,3.2,Yes,Yes
41.0,Master's,17,34.8,6.8,Yes,No
48.0,Master's,24,87.5,7.7,Yes,Yes
23.0,Bachelor's,1,78.2,3.9,Yes,No
19.0,Bachelor's,0,53.6,5.7,Yes,No
37.0,Bachelor's,15,46.5,6.5,No,No
45.0,High School,26,23.4,7.0,No,No
28.0,Master's,3,49.1,5.9,Yes,No
21.0,Master's,0,85.9,4.2,,No
32.0,Bachelor's,9,63.9,6.4,Yes,No
23.0,Master's,0,88.3,3.2,No,No
47.0,High School,29,52.6,6.0,No,No
55.0,Bachelor's,31,79.1,5.6,Yes,Yes
19.0,PhD,0,50.7,6.2,Yes,No
32.0,PhD,4,45.7,5.4,Yes,No
28.0,Bachelor's,4,62.9,3.5,Yes,No
25.0,PhD,0,51.7,5.8,Yes,No
43.0,Bachelor's,21,34.1,8.4,Yes,Yes
62.0,Bachelor's,40,61.4,9.0,Yes,Yes
61.0,Bachelor's,37,67.1,10.0,Yes,Yes
22.0,PhD,0,90.4,9.9,No,Yes
23.0,High School,5,83.7,4.1,Yes,No
43.0,Bachelor's,20,89.4,5.7,No,Yes
21.0,Bachelor's,0,79.4,6.5,Yes,No
36.0,Master's,12,71.7,6.3,Yes,Yes
37.0,Bachelor's,13,40.4,6.6,Yes,No
50.0,Bachelor's,28,68.0,10.0,,Yes
37.0,High School,18,76.9,4.3,Yes,No
29.0,Bachelor's,7,94.1,5.1,Yes,Yes
64.0,Master's,38,,9.8,Yes,Yes
18.0,Bachelor's,0,89.8,5.3,No,No
43.0,Master's,18,44.4,7.3,Yes,Yes
31.0,High School,13,58.5,8.6,Yes,Yes
55.0,Master's,30,73.6,7.5,,Yes
54.0,Bachelor's,30,88.2,6.9,No,Yes
28.0,High School,9,62.1,8.4,Yes,No
53.0,Bachelor's,31,63.4,4.7,Yes,Yes
30.0,Master's,6,78.7,5.5,Yes,Yes
60.0,Master's,35,42.5,7.6,Yes,Yes
20.0,Bachelor's,0,97.1,2.4,Yes,No
50.0,Master's,24,47.4,9.3,Yes,Yes
23.0,High School,4,26.6,7.1,No,No
27.0,High School,9,65.2,6.8,Yes,No
22.0,Bachelor's,0,99.0,3.2,Yes,No
40.0,Bachelor's,18,76.7,3.9,Yes,No
27.0,Master's,3,80.0,5.7,Yes,No
61.0,Bachelor's,,65.8,8.1,Yes,Yes
19.0,High School,1,62.0,2.3,Yes,No
30.0,Bachelor's,7,34.1,8.1,Yes,No
57.0,High School,38,19.8,5.8,No,No
19.0,High School,0,68.9,6.1,Yes,No
37.0,,,91.3,7.0,Yes,Yes
18.0,Bachelor's,0,71.9,7.0,No,No
54.0,Bachelor's,32,77.5,5.1,No,Yes
26.0,Bachelor's,2,96.7,7.7,Yes,Yes
34.0,High School,16,71.6,1.9,No,No
26.0,High School,6,62.5,5.6,Yes,No
28.0,Bachelor's,6,48.6,6.8,Yes,No
32.0,High School,12,100.0,5.8,Yes,Yes
41.0,Bachelor's,18,75.5,2.8,Yes,No
55.0,High School,36,46.1,8.0,Yes,Yes
52.0,Bachelor's,28,41.6,4.0,Yes,No
47.0,High School,27,90.1,6.4,No,Yes
48.0,High School,28,44.3,6.8,Yes,No
22.0,,,100.0,6.5,Yes,Yes
61.0,PhD,33,9.9,8.8,Yes,Yes
31.0,High School,12,93.5,6.4,No,No
28.0,Bachelor's,6,74.7,7.4,No,No
26.0,Master's,0,67.4,6.4,Yes,No
51.0,Bachelor's,27,61.5,7.7,No,Yes
29.0,Master's,3,100.0,9.3,No,Yes
52.0,High School,33,79.1,6.8,No,Yes
52.0,PhD,23,46.9,8.1,Yes,Yes
18.0,Bachelor's,0,30.6,9.4,Yes,No
57.0,Bachelor's,34,68.5,9.2,Yes,Yes
,Master's,,65.0,5.7,No,No
46.0,Bachelor's,22,34.6,8.6,No,No
25.0,Bachelor's,3,63.9,7.0,No,No
28.0,Master's,3,53.5,8.7,Yes,Yes
58.0,Bachelor's,35,65.2,7.6,Yes,Yes
54.0,High School,35,79.5,7.1,Yes,Yes
31.0,Bachelor's,9,94.9,7.4,Yes,Yes
47.0,High School,28,83.2,7.0,Yes,Yes
52.0,Master's,27,50.6,7.1,Yes,Yes
38.0,PhD,10,72.4,6.2,No,No
54.0,Bachelor's,31,66.3,6.0,Yes,Yes
22.0,Bachelor's,0,38.4,10.0,No,No
36.0,High School,16,73.0,7.5,No,No
31.0,High School,11,100.0,5.4,Yes,Yes
43.0,PhD,15,65.6,5.9,Yes,Yes
21.0,High School,3,33.1,8.6,No,No
42.0,Bachelor's,19,65.6,5.0,No,No
62.0,Master's,36,40.7,3.5,Yes,No
59.0,Master's,33,82.3,3.7,Yes,Yes
42.0,Bachelor's,20,75.5,3.0,Yes,No
35.0,Bachelor's,11,61.6,3.9,Yes,No
57.0,Bachelor's,34,58.4,4.1,Yes,Yes
25.0,PhD,0,60.8,9.3,No,Yes
56.0,Bachelor's,32,65.2,6.4,Yes,Yes
57.0,Bachelor's,34,49.6,5.8,Yes,Yes
31.0,High School,13,37.2,3.6,No,No
49.0,High School,30,87.8,6.2,Yes,Yes
55.0,Bachelor's,31,57.3,3.0,No,No
50.0,PhD,22,68.3,5.8,Yes,Yes
40.0,Master's,16,70.7,10.0,Yes,Yes
32.0,PhD,4,71.4,7.8,Yes,Yes
50.0,Bachelor's,26,41.5,6.1,Yes,No
42.0,Master's,18,31.5,7.9,No,No
34.0,Master's,10,53.2,5.5,No,No
50.0,Bachelor's,26,72.9,4.9,No,No
64.0,Bachelor's,41,50.4,9.9,Yes,Yes
19.0,Bachelor's,0,57.9,4.2,No,No
31.0,Master's,5,100.0,5.8,Yes,Yes
57.0,Bachelor's,35,,7.1,Yes,Yes
,,,49.9,4.6,Yes,No
56.0,High School,36,100.0,7.8,Yes,Yes
23.0,Master's,0,64.1,5.9,Yes,No
23.0,Bachelor's,1,50.9,7.8,Yes,No
20.0,Master's,0,88.4,7.7,Yes,Yes
24.0,Bachelor's,0,66.1,6.0,Yes,No
25.0,PhD,0,58.0,9.9,Yes,Yes
59.0,Bachelor's,36,68.8,5.2,No,Yes
32.0,Bachelor's,8,51.8,9.2,Yes,Yes
64.0,Bachelor's,40,44.7,8.8,Yes,Yes
46.0,Bachelor's,24,62.7,10.0,No,Yes
50.0,Bachelor's,28,44.8,6.8,Yes,Yes
47.0,Bachelor's,25,65.2,4.9,Yes,Yes
56.0,Master's,30,72.1,10.0,No,Yes
44.0,Bachelor's,22,82.1,5.8,Yes,Yes
53.0,Bachelor's,29,87.6,4.9,No,Yes
46.0,Bachelor's,23,56.9,6.1,Yes,Yes
55.0,Bachelor's,31,75.0,4.5,Yes,Yes
